config,alpha,top_k,mrr,context_recall,context_precision,retrieval_time,ragas_time,latency_total
alpha=0.3_topk=5,0.3,5,0.40944444444444444,0.5880952380952381,0.572777777754493,4.076911900017876,477.86055340000894,481.939063799975
alpha=0.3_topk=10,0.3,10,0.40092592592592596,0.6428571428571428,0.5592200491111778,3.7014464999665506,748.3384529000032,752.0424463999807
alpha=0.3_topk=15,0.3,15,0.40985449735449736,0.7,0.5061527008094108,4.081438500026707,1148.6834237999865,1152.767483100004
alpha=0.3_topk=20,0.3,20,0.4067439967439968,0.7,,5.462482300004922,1405.954105700017,1411.419704400003
alpha=0.5_topk=5,0.5,5,0.425,0.6166666666666667,0.6088425925636369,5.017962699988857,443.7323891999549,448.75194779998856
alpha=0.5_topk=10,0.5,10,0.4683201058201058,0.7166666666666667,0.5475002361871599,3.555883700028062,822.3921668999828,825.9502200999996
alpha=0.5_topk=15,0.5,15,0.4508465608465608,0.7285714285714285,,4.974234900029842,1149.684251700004,1154.660950599995
alpha=0.5_topk=20,0.5,20,0.44020676691729316,0.7428571428571428,,4.819796000025235,1408.9910294999718,1413.813824700017
alpha=0.7_topk=5,0.7,5,0.4105555555555556,0.5095238095238095,0.5809259258954875,4.9191450999933295,432.1665743999765,437.0880747999763
alpha=0.7_topk=10,0.7,10,0.418968253968254,0.7166666666666667,0.5354678130321872,3.7117107999511063,729.054762499989,732.7686394999619
alpha=0.7_topk=15,0.7,15,0.39680014430014426,0.7333333333333333,0.529042785901719,4.806771499977913,1101.6813991999952,1106.4907830000157
alpha=0.7_topk=20,0.7,20,0.3991367102396514,0.7333333333333333,,3.692701500025578,1390.6425281999982,1394.3384789000265
alpha=0.9_topk=5,0.9,5,0.3855555555555556,0.55,0.5540740740461975,4.830714999989141,452.93213910004124,457.7644636000041
alpha=0.9_topk=10,0.9,10,0.4051322751322751,0.6666666666666666,0.5396781934783371,3.4197016000398435,797.1970716000069,800.6190260000294
alpha=0.9_topk=15,0.9,15,0.4162433862433863,0.7595238095238095,,5.612561600049958,1234.7225349999499,1240.3378327999962
alpha=0.9_topk=20,0.9,20,0.4168866610971874,0.7809523809523811,,5.215412699966691,1482.736877200019,1487.9553865999915
