file,format,file_size_kb,text_len,n_tables,n_images,extract_method,error
(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,hwp,4163.0,104685,226,9,hwp5html,
(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,hwp,330.0,51341,107,17,hwp5html,
(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,hwp,881.0,14407,0,6,hwp5txt,
(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,hwp,1138.5,42971,95,6,hwp5html,
2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,hwp,235.5,47517,91,2,hwp5html,
BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,hwp,808.0,70665,144,5,hwp5html,
KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,hwp,23546.0,36489,0,85,hwp5txt,hwp5html_timeout
경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,hwp,296.5,64463,108,2,hwp5html,
경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,hwp,568.0,70465,121,3,hwp5html,
경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,hwp,1200.5,81776,124,6,hwp5html,
경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,hwp,2450.0,58513,113,5,hwp5html,
경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,hwp,406.0,44491,54,2,hwp5html,
고양도시관리공사_관산근린공원 다목적구장 홈페이지 및 회원 통합운영.hwp,hwp,1028.0,72289,135,5,hwp5html,
광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,hwp,592.0,58425,101,8,hwp5html,
광주과학기술원_학사시스템 기능개선 사업.hwp,hwp,519.5,47334,87,3,hwp5html,
국가과학기술지식정보서비스_통합정보시스템 고도화 용역.hwp,hwp,848.5,60174,140,5,hwp5html,
국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,hwp,273.0,54814,103,1,hwp5html,
국립인천해양박물관_국립인천해양박물관 해양자료관리시스템 구축 용.hwp,hwp,580.0,22970,0,4,hwp5txt,
국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,hwp,1483.5,92239,246,11,hwp5html,
국민연금공단_2024년 이러닝시스템 운영 용역.hwp,hwp,1009.5,60751,73,6,hwp5html,
국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,hwp,1678.0,18856,0,8,hwp5txt,
국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp,hwp,4195.5,15392,0,6,hwp5txt,
국방과학연구소_대용량 자료전송시스템 고도화.hwp,hwp,2900.5,56348,68,5,hwp5html,
그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,hwp,1145.0,19490,0,3,hwp5txt,hwp5html_timeout
나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스.hwp,hwp,954.0,61283,122,5,hwp5html,
남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,hwp,332.5,61487,130,1,hwp5html,
대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,hwp,3583.5,53756,92,5,hwp5html,
