config,run,doc_key,doc_type,question,ground_truth,answer,kw_v2,category,difficulty,n_retrieved,retrieval_time,generation_time,total_time,timeout
V0_hwp5txt,0,doc_A,text_only,본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,1.0,general,easy,15,6.2610602378845215,5.279967546463013,11.541027784347534,False
V0_hwp5txt,0,doc_A,text_only,사업기간은 어떻게 되는가?,계약일로부터 4월(120일),계약일로부터 4월(120일) * 사업기간은 협의에 의해 조정할 수 있음,1.0,schedule,easy,15,1.159052848815918,10.073081731796265,11.232134580612183,False
V0_hwp5txt,0,doc_A,text_only,사업예산은 얼마인가?,300백만원(V.A.T. 포함),사업예산 : 300백만원(V.A.T. 포함),1.0,budget,easy,15,1.1865134239196777,3.6193583011627197,4.8058717250823975,False
V0_hwp5txt,0,doc_A,text_only,입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),입찰방식 및 방법 : 제한경쟁입찰(협상에 의한 계약),1.0,procurement,easy,15,1.1584641933441162,4.9301605224609375,6.088624715805054,False
V0_hwp5txt,0,doc_A,text_only,現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생","다음과 같습니다.

정보시스템 측면
- 現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계
  * 수산물 사이버직매장 시스템을 구성하는 H/W(Server, Storage, 네트워크 장비 등), SW(OS, DBMS등)의 내용연수 경과 및 EOS(End Of Service) 상태
- 신용(금융)사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭* 부족 문제
  * 스위치 대역폭은 1GB이며, 실가능 대역폭은 300MB 수준
- SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생

플랫폼 사용자 측면
- (소비자) 최신 디지털 기술을 앞세운 온라인 유통 플랫폼의 등장으로 더욱 편하고 빠른 온라인 쇼핑 환경에 대한 기대치 상승
- (운영자) 이용자 확대에 따른 서비스 운영방식 개선 등 수요자의 요구에 신속한 대응을 위한 업무프로세스 재설계 필요
  - B2C, B2B 각 채널의 분절적 운영으로 단순·반복 업무 과다발생에 따른 업무효율 저하
  - Sh인스토어, 기프트몰, 임직원복지몰 등 채널별 경쟁력 확보를 위한 운영방식 및 업무 프로세스 재검토 필요
  - 다양한 디지털 마케팅 기술 활용 불가로 고객 증대 및 유지 한계
- (판매자) 플랫폼 입점부터 상품 마케팅·판매·정산이 용이한 이커머스플랫폼에 대한 선호도 증가
  - 판매자의 입점과 상품 판매가 용이한 플랫폼 환경
  - 산재적으로 개별 운영하는 회원조합 온라인몰에 대한 통합 방안 필요",0.9166666666666666,technical,medium,15,1.1637301445007324,13.464576959609985,14.628307104110718,False
V0_hwp5txt,0,doc_A,text_only,기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진","총 사업비 : 2,996백만원(자담 50%, 국고보조 50%)
추진 단계 : 1단계(‘14. 6월 ~ ‘15. 5월), 2단계(‘15. 6월 ~ ‘15. 12월)",0.625,budget,medium,15,1.215885877609253,6.005239486694336,7.221125364303589,False
V0_hwp5txt,0,doc_B,table_simple,국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,계약체결일 ~ 2024.11.15.(금),사업기간 : 계약체결일 ~ 2024. 11. 15.(금),0.5,schedule,easy,15,0.7615640163421631,2.9114649295806885,3.6730289459228516,False
V0_hwp5txt,0,doc_B,table_simple,NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)",본 사업은 20억원 미만 사업입니다.,0.0,budget,easy,15,0.6768968105316162,5.528698205947876,6.205595016479492,False
V0_hwp5txt,0,doc_B,table_simple,NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발","고도화 내용
1 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화
2 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편
3 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축
4 사용자 로그인 및 관리 기능 신규 개발
5 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발",0.8823529411764706,technical,medium,15,0.7779719829559326,5.616232395172119,6.394204378128052,False
V0_hwp5txt,0,doc_B,table_simple,NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)","유지보수 내용
1 웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등)
2 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)",0.9473684210526315,technical,medium,15,0.7227745056152344,6.97314977645874,7.695924282073975,False
