question,ground_truth,category,difficulty,source_page
본 사업의 프로젝트 명은 무엇인가?,고려대학교 차세대 포털·학사 정보시스템 구축 사업,basic,easy,1
사업의 수행 기간은 얼마인가?,계약 체결일로부터 24개월,schedule,easy,34
입찰 참가 자격 중 실적 관련 요구사항은?,최근 3년간 유사 사업 수행 금액이 입찰 금액 대비 일정 비율 이상이어야 함 (세부 기준 공고서 참조),qualification,medium,Unknown
기술능력평가와 입찰가격평가의 배점 비율은?,"기술능력평가 90%, 입찰가격평가 10%",evaluation,medium,Unknown
사업 수행 장소는 어디인가?,발주처(고려대학교)가 지정하는 장소,contract,easy,Unknown
하자보수 기간은?,검수 완료일로부터 1년 (또는 제안서 제시),contract,easy,Unknown
사업명은 무엇인가?,고려대학교 차세대 포털·학사 정보시스템 구축 사업,general,easy,
사업기간(계약 기준)은 얼마인가?,계약일로부터 24개월 이내,schedule,easy,
무상유지보수기간은 얼마인가?,사업종료일로부터 12개월,maintenance,easy,
사업예산 총액은 얼마이며 부가세 포함 여부는?,"11,270,000,000원 (V.A.T 포함, 3년 분할 지급)",budget,easy,
사업비 지급 비율(연도별)은 어떻게 되는가?,"2024학년도 약 30% 지급, 2025학년도 약 40% 지급, 2026학년도 약 30% 지급",budget,medium,
입찰 및 계약 방법은 무엇으로 규정되어 있는가?,제한 경쟁 입찰(협상에 의한 계약),procurement,easy,
포털 및 학사 정보시스템에서 요구되는 주요 기능 항목들은 무엇인가?,"통합로그인, 통합/지능형 검색, 마이페이지, 공지/알림, 일정관리, 커뮤니티, 게시판, 사용자별 정보서비스, 위젯, 연계서비스(웹메일, 챗봇, 전자결재, 학사/행정 서비스) 등",technical,medium,
모바일 포털 앱은 어떻게 구축되도록 요구하고 있는가?,기존 보유 앱(호잇)을 하이브리드 방식으로 재구축 + 일부 서비스 변경 (추가/삭제),technical,medium,
이 사업의 주요 사용자 대상은 누구인가?,"학생(졸업생포함), 교직원, 연구원 등 내부 구성원",general,easy,
개인정보영향평가 관련 요구사항은 무엇인가?,"시스템의 구축, 운영, 변경 등이 개인정보에 미치는 영향을 사전에 조사, 예측, 검토하여 개선방안을 도출하고 개인정보 영향평가를 수행하여 보고서를 제출해야 함",compliance,medium,
프로젝트 수행을 위해 제안서에 반드시 포함되어야 하는 주요 인력/역할은 무엇인가?,"PM(Project Manager), PL(Project Leader), QA(Quality Assurance), AA(Application Architecture), DA(Data Architecture), 디자인, 공통개발 등",management,easy,
개발 및 운영 시 준수해야 하는 웹 표준 및 보안 관련 지침의 예시는 무엇인가?,"전자정부 웹사이트 품질관리 지침, 행정기관 및 공공기관 정보시스템 구축‧운영 지침, OWASP Top 10 및 OWASP Guide, W3C 국제표준, 한국형 웹 콘텐츠 접근성 지침(KWCAG) 등(개정 시 최신 개정사항 적용)",compliance,hard,
시스템 보안성 관련 필수 인증 또는 수준 진단 기준은 무엇인가?,정보보호 관리체계(ISMS)인증제도 또는 교육부 대학 정보보호 수준진단에 부합하는 시스템을 구축해야 함,security,medium,
차세대 정보시스템에서 고유식별정보 및 민감정보에 대해 요구되는 조치는 무엇인가?,차세대 정보시스템의 구축 정보 중 고유식별정보 및 민감정보는 암호화되어야 함,data,easy,
무상 하자보수 기간의 시작일과 기본 적용 기간은 어떻게 규정되어 있는가?,"무상 하자보수 기간 시작일은 최종 검수일로 하고, S/W 기본 12개월의 무상 하자보수 기간을 적용",maintenance,medium,
기존 데이터 이관 및 검증 업무는 누가 수행해야 하는가?,"기존 데이터 이관, 검증 업무는 제안사가 진행",data,easy,
"프로젝트의 주요 일정 단계(예: 분석·설계, 개발·테스트, 인수, 시범운영 등)는 어떤 순서로 계획되어 있는가?","프로젝트 관리 → 분석 및 설계 → 개발 및 테스트(단위/통합) → 인수(성능/인수테스트) → 시범운영(시범운영, 오픈) 및 착수·중간·최종보고",schedule,medium,
포털과 연계된 인증·보안 요구사항으로 명시된 인증 방식들은 무엇인가?,"SSO, 간편인증, 2차인증(추가 인증방식으로 모바일, OTP 방식 등을 병행할 수 있도록 구축)",security,medium,
데이터 설계 및 표준화를 위해 제안사가 적용해야 할 도구/방법은 무엇인가?,데이터 아키텍처시스템의 모델링툴 등을 시스템 개발에 필히 적용하여 최적화·표준화 설계 및 개발,data,hard,
도입되는 모든 소프트웨어의 라이선스 제공 방식에 관한 요구사항은 무엇인가?,도입되는 모든 S/W의 라이선스는 원본으로 제공하여야 한다.,procurement,easy,
제안사에게 요구되는 매뉴얼 제공 및 관리 방식은 무엇인가?,"모든 프로그램은 온·오프라인 매뉴얼을 제공하여야 하며, 매뉴얼은 형상관리툴로 변동내역을 관리하고 최종 변경된 매뉴얼은 시스템에 반영되어 사용자에게 제공",technical,medium,
시스템 구축 완료 후 보안 취약점 관련 요구되는 절차는 무엇인가?,시스템 구축 후 시스템 취약점 점검을 실시하여 시스템의 안정성에 대한 결과서를 제출하고 미비사항에 대하여 조치를 완료하여야 함,security,medium,
통합아이디 체계 구축 시 개인정보 관련 요구사항은 무엇인가?,개인이 가지는 여러 신분을 하나로 묶는 통합아이디 체계를 개인정보보호법에 위배되지 않도록 운영할 수 있는 방안을 반영하여 구축해야 함,compliance,hard,
제안 제출 방식과 관련해 주사업자에게 요구되는 조건은 무엇인가?,"모든 제안 내용은 우리대학이 제시한 조건에 충족하여야 하며, 주사업자가 일괄 제안하여야 함",procurement,easy,
