question,ground_truth,category,difficulty,source_page,source_doc,evidence_span
본 사업의 프로젝트 명은 무엇인가?,고려대학교 차세대 포털·학사 정보시스템 구축 사업,basic,easy,1,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
사업의 수행 기간은 얼마인가?,계약 체결일로부터 24개월,schedule,easy,34,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
입찰 참가 자격 중 실적 관련 요구사항은?,최근 3년간 유사 사업 수행 금액이 입찰 금액 대비 일정 비율 이상이어야 함 (세부 기준 공고서 참조),qualification,medium,Unknown,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
기술능력평가와 입찰가격평가의 배점 비율은?,"기술능력평가 90%, 입찰가격평가 10%",evaluation,medium,Unknown,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
사업 수행 장소는 어디인가?,발주처(고려대학교)가 지정하는 장소,contract,easy,Unknown,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
하자보수 기간은?,검수 완료일로부터 1년 (또는 제안서 제시),contract,easy,Unknown,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
사업명은 무엇인가?,고려대학교 차세대 포털·학사 정보시스템 구축 사업,general,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
사업기간(계약 기준)은 얼마인가?,계약일로부터 24개월 이내,schedule,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
무상유지보수기간은 얼마인가?,사업종료일로부터 12개월,maintenance,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
사업예산 총액은 얼마이며 부가세 포함 여부는?,"11,270,000,000원 (V.A.T 포함, 3년 분할 지급)",budget,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
사업비 지급 비율(연도별)은 어떻게 되는가?,"2024학년도 약 30% 지급, 2025학년도 약 40% 지급, 2026학년도 약 30% 지급",budget,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
입찰 및 계약 방법은 무엇으로 규정되어 있는가?,제한 경쟁 입찰(협상에 의한 계약),procurement,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
포털 및 학사 정보시스템에서 요구되는 주요 기능 항목들은 무엇인가?,"통합로그인, 통합/지능형 검색, 마이페이지, 공지/알림, 일정관리, 커뮤니티, 게시판, 사용자별 정보서비스, 위젯, 연계서비스(웹메일, 챗봇, 전자결재, 학사/행정 서비스) 등",technical,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
모바일 포털 앱은 어떻게 구축되도록 요구하고 있는가?,기존 보유 앱(호잇)을 하이브리드 방식으로 재구축 + 일부 서비스 변경 (추가/삭제),technical,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
이 사업의 주요 사용자 대상은 누구인가?,"학생(졸업생포함), 교직원, 연구원 등 내부 구성원",general,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
개인정보영향평가 관련 요구사항은 무엇인가?,"시스템의 구축, 운영, 변경 등이 개인정보에 미치는 영향을 사전에 조사, 예측, 검토하여 개선방안을 도출하고 개인정보 영향평가를 수행하여 보고서를 제출해야 함",compliance,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
프로젝트 수행을 위해 제안서에 반드시 포함되어야 하는 주요 인력/역할은 무엇인가?,"PM(Project Manager), PL(Project Leader), QA(Quality Assurance), AA(Application Architecture), DA(Data Architecture), 디자인, 공통개발 등",management,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
개발 및 운영 시 준수해야 하는 웹 표준 및 보안 관련 지침의 예시는 무엇인가?,"전자정부 웹사이트 품질관리 지침, 행정기관 및 공공기관 정보시스템 구축‧운영 지침, OWASP Top 10 및 OWASP Guide, W3C 국제표준, 한국형 웹 콘텐츠 접근성 지침(KWCAG) 등(개정 시 최신 개정사항 적용)",compliance,hard,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
시스템 보안성 관련 필수 인증 또는 수준 진단 기준은 무엇인가?,정보보호 관리체계(ISMS)인증제도 또는 교육부 대학 정보보호 수준진단에 부합하는 시스템을 구축해야 함,security,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
차세대 정보시스템에서 고유식별정보 및 민감정보에 대해 요구되는 조치는 무엇인가?,차세대 정보시스템의 구축 정보 중 고유식별정보 및 민감정보는 암호화되어야 함,data,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
무상 하자보수 기간의 시작일과 기본 적용 기간은 어떻게 규정되어 있는가?,"무상 하자보수 기간 시작일은 최종 검수일로 하고, S/W 기본 12개월의 무상 하자보수 기간을 적용",maintenance,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
기존 데이터 이관 및 검증 업무는 누가 수행해야 하는가?,"기존 데이터 이관, 검증 업무는 제안사가 진행",data,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
