question,ground_truth,category,difficulty,source_page,source_doc,evidence_span
본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,general,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,사 업 명 : 수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역
사업기간은 어떻게 되는가?,계약일로부터 4월(120일),schedule,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,사업기간 : 계약일로부터 4월(120일)
사업예산은 얼마인가?,"300백만원(V.A.T. 포함)",budget,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,사업예산 : 300백만원(V.A.T. 포함)
입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),procurement,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,계약방법 : 제한경쟁입찰(협상에 의한 계약)
現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생",technical,medium,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,"現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 신용사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동"
기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진",budget,medium,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,"총 사업비 : 2,996백만원(자담 50%, 국고보조 50%), 1단계('14. 6월 ~ '15. 5월), 2단계('15. 6월 ~ '15. 12월)"
국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,"계약체결일 ~ 2024.11.15.(금)",schedule,easy,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,"사업기간 : 계약체결일 ~ 2024.11.15.(금)"
NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)",budget,easy,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,"사업금액 : 50,000,000원 (VAT 포함)"
NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발",technical,medium,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,"① 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화 ② 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편 ③ 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축 ④ 사용자 로그인 및 관리 기능 신규 개발 ⑤ 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발"
NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)",technical,medium,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,"① 웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등) ② 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)"
